Month,Total Gallons,Postal Code
5/1/2012,85100,78726
5/1/2012,17424500,78736
5/1/2012,935600,78747
5/1/2012,7457600,78747
5/1/2012,3665800,78726
5/1/2012,1400,78744
5/1/2012,60148100,78739
5/1/2012,24781900,78744
5/1/2012,18500,78613
5/1/2012,7424200,78728
5/1/2012,4743500,78727
5/1/2012,11411400,78726
5/1/2012,90821400,78745
5/1/2012,0,78739
5/1/2012,27400,78729
5/1/2012,47200,78652
5/1/2012,26000,78748
5/1/2012,280100,78725
5/1/2012,20987400,78617
5/1/2012,65726400,78703
5/1/2012,1830400,78719
5/1/2012,8000,78721
5/1/2012,362900,78742
5/1/2012,13700,78750
5/1/2012,6000,78732
5/1/2012,33500,78702
5/1/2012,1282000,78653
5/1/2012,29305900,78702
5/1/2012,2901000,78717
5/1/2012,459500,78705
5/1/2012,79300,78752
5/1/2012,84210200,78741
5/1/2012,667300,78702
5/1/2012,21334068,78741
5/1/2012,5035000,78728
5/1/2012,39479500,78723
5/1/2012,21571200,78730
5/1/2012,47822800,78746
5/1/2012,46200,78733
5/1/2012,109000,78653
5/1/2012,321400,78751
5/1/2012,21495000,78724
5/1/2012,14397900,78746
5/1/2012,89646900,78748
5/1/2012,53277800,78727
5/1/2012,843700,78742
5/1/2012,18158000,78751
5/1/2012,87685000,78749
5/1/2012,2827900,78758
5/1/2012,14443600,78757
5/1/2012,62000,78756
5/1/2012,285900,78701
5/1/2012,2667300,78730
5/1/2012,85095400,78731
5/1/2012,18230300,78731
5/1/2012,50500,78757
5/1/2012,49607900,78753
5/1/2012,45136100,78758
5/1/2012,10684300,78737
5/1/2012,8996800,78702
5/1/2012,13160300,78750
5/1/2012,3304900,78745
5/1/2012,33104000,78705
5/1/2012,30799600,78747
5/1/2012,43558500,78757
5/1/2012,10666800,78722
5/1/2012,24636500,78754
5/1/2012,4550800,78730
5/1/2012,542100,78703
5/1/2012,13314200,78703
5/1/2012,15375600,78749
5/1/2012,90237500,78759
5/1/2012,1216900,78759
5/1/2012,13723000,78751
5/1/2012,48576300,78758
5/1/2012,29960800,78735
6/1/2012,8090900,78747
6/1/2012,100800,78724
6/1/2012,1203400,78744
6/1/2012,11557800,78722
6/1/2012,29300,78758
6/1/2012,25463800,78724
6/1/2012,50197800,78704
6/1/2012,53878600,78753
6/1/2012,9000,78738
6/1/2012,1183500,78747
6/1/2012,14868200,78724
6/1/2012,13453500,78737
6/1/2012,3296900,78722
6/1/2012,5843300,78756
6/1/2012,26584700,78729
6/1/2012,21844000,78723
6/1/2012,3199200,78660
6/1/2012,255600,78704
6/1/2012,78000,78613
6/1/2012,18200,78652
6/1/2012,1863600,78719
6/1/2012,49000,78724
6/1/2012,88100,78745
6/1/2012,150300,78723
6/1/2012,26737800,78744
6/1/2012,42537500,78759
6/1/2012,27700,78741
6/1/2012,343500,78742
6/1/2012,29800,78752
6/1/2012,2261000,78735
6/1/2012,5800,78737
6/1/2012,7743600,78717
6/1/2012,333900,78725
6/1/2012,12255000,78726
6/1/2012,611900,78746
6/1/2012,12600,78729
6/1/2012,1831000,78736
6/1/2012,104231100,78749
6/1/2012,11353500,78735
6/1/2012,30346800,78754
6/1/2012,0,78739
6/1/2012,809700,78731
